ORDER,NAME,KEYWORD,CLASS,VERSION,GENERATE,OUTPUT,COMMENT
1,3D Tiles Layer,GP3DTilesLayer,TilesLayer3D,,N,Y,A 3D tiles layer references a tile set that defines an integrated mesh or 3D object type data in a hierarchical data structure.
2,Address Locator,DEAddressLocator,AddressLocator,,N,Y,"A dataset used for geocoding that stores the address attributes, associated indexes, and rules that define the process for translating nonspatial descriptions of places to spatial data."
3,Analysis Cell Size,analysis_cell_size,AnalysisCellSize,v0.1.0,Y,N,The cell size used by raster tools.
4,Any Value,GPType,AnyType,,N,N,A data type that accepts any value.
5,ArcMap Document,DEMapDocument,MapDocument,v0.1.0,Y,N,"A file that contains one map, its layout, and its associated layers, tables, charts, and reports."
6,Areal Unit,GPArealUnit,ArealUnit,v0.1.0,Y,N,"An areal unit type and value, such as square meter or acre."
7,Boolean,GPBoolean,Boolean,v0.1.0,Y,N,A Boolean value.
8,CAD Drawing Dataset,DECadDrawingDataset,CadDrawingDataset,v0.1.0,Y,Y,A vector data source combined with feature types and symbology. The dataset cannot be used for feature class-based queries or analysis.
9,Calculator Expression,GPCalculatorExpression,CalculatorExpression,v0.1.0,Y,N,A calculator expression.
10,Catalog Layer,GPCatalogLayer,CatalogLayer,v0.1.0,Y,N,"A collection of references to different data types. The data types can be from different locations and are managed and visualized dynamically as layers based on location, time, and other attributes."
11,Catalog Root,DECatalogRoot,CatalogRoot,,N,N,The top-level node in the Catalog tree.
12,Cell Size,GPSACellSize,SACellSize,v0.1.0,Y,N,The cell size used by the ArcGIS Spatial Analyst extension.
13,Cell Size XY,GPCellSizeXY,CellSizeXY,v0.1.0,Y,N,The size that defines the two sides of a raster cell.
14,Composite Layer,GPCompositeLayer,CompositeLayer,,N,Y,"A reference to several children layers, including symbology and rendering properties."
15,Compression,GPSAGDBEnvCompression,SAGDBEnvCompression,,N,N,The type of compression used for a raster.
16,Coordinate System,GPCoordinateSystem,CoordinateSystem,v0.1.0,Y,Y,"A reference framework, such as the UTM system consisting of a set of points, lines, or surfaces, and a set of rules used to define the positions of points in two- and three-dimensional space."
17,Coordinate Systems Folder,DESpatialReferencesFolder,SpatialReferencesFolder,,N,N,A folder on disk storing coordinate systems.
18,Coverage,DECoverage,Coverage,v0.1.0,Y,N,"A coverage dataset, a proprietary data model for storing geographic features as points, arcs, and polygons with associated feature attribute tables."
19,Coverage Feature Class,DECoverageFeatureClasses,CoverageFeatureClass,v0.1.0,Y,N,"A coverage feature class, such as point, arc, node, route, route system, section, polygon, and region."
20,Data Element,DEType,DataElement,v0.1.0,Y,Y,A dataset visible in ArcCatalog.
21,Data File,GPDataFile,DataFile,,N,Y,A data file.
22,Database Connections,DERemoteDatabaseFolder,RemoteDatabaseFolder,,N,N,The database connection folder in ArcCatalog.
23,Dataset,DEDatasetType,DatasetType,v0.1.0,Y,N,"A collection of related data, usually grouped or stored together."
24,Date,GPDate,Date,v0.1.0,Y,N,A date value.
25,dBASE Table,DEDbaseTable,DbaseTable,v0.1.0,Y,Y,Attribute data stored in dBASE format.
26,Decimate,GP3DADecimate,Decimate3DA,,N,N,A subset of nodes of a TIN to create a generalized version of that TIN.
27,Diagram Layer,GPDiagramLayer,DiagramLayer,,N,Y,A diagram layer.
28,Disk Connection,DEDiskConnection,DiskConnection,,N,N,An access path to a data storage device.
29,Double,GPDouble,Double,v0.1.0,Y,N,"Any floating-point number stored as a double precision, 64-bit value."
30,Encrypted String,GPEncryptedString,EncryptedString,v0.1.0,Y,N,An encrypted string for passwords.
31,Envelope,GPEnvelope,Envelope,v0.1.0,Y,N,The coordinate pairs that define the minimum bounding rectangle in which the data source resides.
32,Evaluation Scale,GPEvaluationScale,EvaluationScale,,N,N,The scale value range and increment value applied to inputs in a weighted overlay operation.
33,Extent,GPExtent,Extent,v0.1.0,Y,N,"The coordinate pairs that define the minimum bounding rectangle (x-minimum, y-minimum and x-maximum, y-maximum) of a data source. All coordinates for the data source are within this boundary."
34,Extract Values,GPSAExtractValues,SAExtractValues,,N,N,An extract values parameter.
35,Feature Class,DEFeatureClass,FeatureClass,v0.1.0,Y,Y,"A collection of spatial data with the same shape type: point, multipoint, polyline, and polygon."
36,Feature Dataset,DEFeatureDataset,FeatureDataset,v0.1.0,Y,Y,A collection of feature classes that share a common geographic area and the same spatial reference system.
37,Feature Layer,GPFeatureLayer,FeatureLayer,v0.1.0,Y,Y,"A reference to a feature class, including symbology and rendering properties."
38,Feature Set,GPFeatureRecordSetLayer,FeatureRecordSetLayer,,N,N,Interactive features that draw the features when the tool is run.
39,Field,Field,Field,v0.1.0,Y,N,A column in a table that stores the values for a single attribute.
